Sample,Latitude,Longitude,Depth (m),Type,Size (mm),,SiO21 (wt. %),TiO2,Al2O3,Fe2O3T1,MgO,MnO,CaO1,K2O1,P2O5,,Sc (ppm),V,Cr,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Zr,Nb,Mo,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Bi,Th,U
A904-1,-44.253300,179.589996,1108,Nodule,79,,4.13,0.02,0.82,1.72,0.58,0.01,58.40,0.46,34.63,,3.29,31.21,10.08,11.47,21.40,15.32,55.68,1.33,27.98,14.51,1906.27,115.86,31.12,0.64,0.50,0.25,0.08,3.87,1.12,1064.84,59.21,7.15,6.24,26.77,4.35,1.51,6.65,0.969,7.028,1.806,5.62,0.836,4.99,0.848,0.376,0.035,0.023,9.17,0.078,0.259,17.55
E79-2,-43.083000,178.000000,371,Nodule,30,,2.27,0.01,0.51,3.40,0.68,0.02,61.13,0.46,29.55,,1.18,69.33,10.29,20.92,95.02,12.39,60.34,2.13,195.67,18.38,2125.08,33.91,14.34,0.68,3.28,0.34,0.09,4.67,1.05,675.03,19.26,7.44,2.04,8.43,1.45,0.675,2.16,0.314,2.224,0.558,1.70,0.257,1.57,0.265,0.174,0.019,3.849,13.35,0.068,0.259,38.04
G100-2,  -43.5  ,  179.5   ,393,Nodule,22,,12.42,0.07,2.68,5.50,1.10,0.02,48.95,1.02,30.77,,1.26,36.31,7.06,5.44,22.21,8.22,36.80,3.22,36.76,41.84,1673.05,7.96,23.31,2.24,2.03,0.10,0.68,3.85,1.68,91.77,6.16,7.68,1.02,3.84,0.705,0.157,0.77,0.115,0.722,0.174,0.518,0.075,0.499,0.078,0.502,0.141,0.218,8.57,0.018,1.567,99.43
G100-3,  -43.5  ,  179.5   ,393,Nodule,28,,7.74,0.04,1.77,5.49,0.96,0.03,55.32,0.87,19.80,,0.77,33.28,8.71,5.50,21.67,7.84,23.31,2.41,35.87,33.87,1712.56,8.74,13.71,1.56,1.99,0.32,0.39,3.76,1.11,110.11,5.87,5.21,1.06,4.05,0.814,0.186,0.92,0.133,0.837,0.199,0.570,0.084,0.532,0.080,0.353,0.110,0.049,7.65,0.026,1.200,70.14
G101-2,-43.383000,179.500000,397,Nodule,47,,4.12,0.02,1.19,5.08,0.82,0.02,57.17,0.44,30.90,,0.54,83.26,13.26,10.23,44.52,11.11,38.58,1.64,39.75,15.41,2146.34,6.14,9.98,1.23,6.06,0.40,3.01,2.98,0.67,231.33,4.02,3.90,0.67,2.53,0.500,0.137,0.53,0.077,0.512,0.115,0.317,0.047,0.318,0.085,0.226,0.068,1.500,11.36,0.046,0.717,144.23
G102-1,-43.441700,179.250000,380,Nodule,44,,6.36,0.03,1.55,8.01,1.02,0.02,52.80,0.65,29.81,,0.99,85.97,13.89,4.12,28.44,9.37,34.06,2.27,32.10,25.99,1833.73,16.75,13.83,1.41,3.79,0.26,0.39,10.25,1.23,41.47,9.60,6.59,1.56,6.39,1.19,0.279,1.45,0.206,1.414,0.339,1.05,0.153,0.973,0.142,0.326,0.087,0.066,11.24,0.038,0.994,147.92
G102-2,-43.441700,179.250000,380,Nodule,10,,10.77,0.03,1.14,5.73,1.48,0.01,49.79,1.43,33.09,,1.69,82.95,34.03,7.69,30.31,6.27,44.95,3.21,13.08,64.15,1638.91,34.42,16.74,1.24,2.19,0.14,0.09,5.27,3.09,182.24,22.81,15.30,2.52,10.28,1.74,0.443,2.58,0.348,2.365,0.606,1.78,0.266,1.63,0.248,0.243,0.038,0.123,13.28,0.073,0.439,95.88
G112-1,-43.483299,178.024994,338,Nodule,88,,1.20,0.02,0.42,1.78,0.82,0.82,59.42,0.37,40.45,,1.11,63.22,56.54,2.53,12.94,4.37,124.30,0.78,48.18,12.79,2656.51,23.87,9.61,0.40,3.97,0.27,0.25,3.00,0.76,217.33,12.32,8.16,1.54,6.35,1.16,0.320,1.55,0.235,1.538,0.408,1.21,0.180,1.08,0.186,0.131,0.018,0.260,11.65,0.039,0.566,76.29
G121-1,-43.349998,174.833298,340,Nodule,41,,4.75,0.03,0.90,4.50,0.98,0.02,59.89,0.66,21.90,,1.89,116.87,20.55,27.65,62.83,10.10,62.13,2.66,91.57,27.52,1801.40,43.13,12.49,1.32,2.66,0.53,0.10,3.86,1.67,1037.58,25.96,13.62,3.43,14.29,2.60,1.09,3.61,0.499,3.220,0.768,2.26,0.327,1.90,0.288,0.237,0.037,0.600,13.91,0.094,0.555,71.41
G221-1 ,-43.666698,179.800000,406,Nodule,21,,6.01,0.02,0.82,5.62,1.18,0.02,54.92,0.84,29.17,,0.86,66.53,14.41,6.64,25.55,8.59,32.06,1.24,34.47,32.05,1974.04,11.93,14.07,0.86,2.01,0.22,0.28,4.16,1.55,32.73,6.31,4.15,0.93,3.85,0.727,0.172,0.89,0.138,0.940,0.240,0.729,0.103,0.620,0.114,0.202,0.035,0.117,12.12,0.044,0.583,165.24
G221-2,-43.666698,179.800000,406,Nodule,50,,5.15,0.02,0.89,3.39,0.93,0.02,57.73,0.69,30.76,,0.89,62.59,13.34,4.89,21.39,10.98,25.06,1.35,19.99,27.30,1988.83,18.85,9.83,0.93,2.31,0.22,,2.35,1.29,175.63,9.30,5.42,1.50,6.22,1.20,0.306,1.49,0.225,1.554,0.359,1.11,0.158,0.988,0.162,0.199,0.047,1.142,9.33,0.038,0.583,219.33
G224-1,-43.766701,179.833298,446,Nodule,28,,6.45,0.04,1.00,7.40,1.20,0.014,51.3,0.78,33.1,,1.28,86.1,20.9,5.25,26.3,8.02,40.1,1.88,23.8,33.6,1726,13.8,10.7,0.944,3.55,0.241,0.282,5.59,1.81,56.3,7.57,6.51,1.26,5.04,0.969,0.245,1.27,0.177,1.184,0.297,0.868,0.126,0.783,0.115,0.212,0.037,0.563,7.77,0.049,0.599,168
G227-1,-43.633301,179.716705,402,Nodule,45,,5.12,0.07,1.38,3.25,1.03,0.020,58.1,0.60,25.7,,1.23,47.6,10.6,4.38,20.1,4.46,27.1,1.44,24.5,24.9,1741,6.80,10.5,1.01,2.51,0.552,0.278,1.57,1.70,43.8,5.50,6.27,1.05,4.26,0.847,0.195,0.952,0.139,0.886,0.195,0.572,0.082,0.495,NaN,0.272,0.059,0.002,3.48,0.005,0.939,110
G244-2,-43.599998,179.500000,406,Nodule,95,,NaN,NaN,0.02,0.85,0.74,0.020,60.9,0.13,42.5,,0.038,8.3,1.12,2.78,10.1,1.76,NaN,0.120,28.4,1.71,2838,1.41,0.72,0.043,0.808,0.248,,1.56,0.092,85.6,0.715,0.725,0.104,0.418,0.075,0.053,0.105,0.016,0.102,0.023,0.068,0.008,0.065,0.010,0.007,0.001,0.250,0.964,0.005,0.034,19.9
G259a-1l,-43.549999,179.366699,419,Nodule,115,,2.75,0.01,0.43,3.23,0.76,0.016,61.0,0.52,25.3,,0.741,64.1,8.69,3.62,19.5,5.18,19.1,0.711,16.5,19.1,1971,13.2,13.3,0.678,1.52,0.408,0.298,1.98,1.07,124,9.85,4.83,1.25,5.12,0.960,0.261,1.24,0.195,1.302,0.318,0.973,0.141,0.859,NaN,0.130,0.014,NaN,7.50,0.005,0.178,124
G259a-1s,-43.549999,179.366699,419,Nodule,22,,7.27,0.01,0.62,5.23,1.16,0.012,53.3,1.05,29.8,,1.10,82.7,22.9,5.36,25.1,7.89,26.2,1.61,20.5,44.2,1695,22.0,16.6,0.692,1.52,0.171,0.011,3.46,2.11,53.9,17.6,10.6,1.98,7.87,1.39,0.349,1.93,0.284,1.998,0.491,1.46,0.219,1.38,NaN,0.164,0.014,NaN,13.1,0.010,0.147,161
G259-a-2,-43.549999,179.366699,419,Nodule,43,,6.37,0.01,0.47,5.05,1.12,0.012,54.1,0.95,32.5,,1.01,69.9,15.1,6.01,26.4,6.52,23.9,1.87,32.6,43.3,1820,21.1,12.2,0.718,1.66,0.185,0.118,4.02,2.45,29.0,11.4,7.25,1.50,6.04,1.09,0.270,1.53,0.217,1.478,0.387,1.15,0.165,1.01,0.155,0.142,0.013,0.313,10.1,0.052,0.163,156
G304-2,-43.133301,180.666702,384,Nodule,19,,13.15,0.11,2.47,4.36,1.43,0.029,49.5,1.24,27.2,,3.00,86.2,30.8,17.7,106,12.5,59.7,4.07,56.1,51.8,1894,50.9,38.3,3.28,2.05,0.199,0.863,6.25,2.61,73.9,26.5,29.0,4.26,18.2,3.48,0.848,4.66,0.666,4.309,1.081,3.01,0.456,2.60,0.421,0.809,0.135,1.79,31.3,0.301,1.85,245
G35-1A,-43.758301,178.000000,433,Nodule,22,,4.64,0.03,0.98,3.12,0.82,0.016,59.76,0.69,28.00,,3.35,116.05,47.98,52.12,157.86,11.35,90.23,1.94,171.44,25.53,2094.14,132.46,25.13,1.28,8.41,1.203,0.383,9.17,1.25,2497.01,73.44,28.81,8.91,36.16,6.24,1.873,9.00,1.281,8.855,2.180,6.63,0.900,5.39,0.844,0.367,0.039,1.58,18.04,0.213,0.28,55.75
G35-1B,-43.758301,178.000000,433,Nodule,27,,3.71,0.02,0.78,2.73,0.93,0.012,57.19,0.61,40.22,,2.11,120.25,36.65,62.00,161.84,13.05,71.13,1.62,139.23,22.70,2356.24,76.15,18.91,0.92,8.31,1.465,0.021,5.23,1.22,2239.02,41.58,18.98,5.09,21.06,3.64,1.210,5.27,0.752,5.063,1.285,3.87,0.524,3.23,0.509,0.237,0.031,2.29,13.41,0.054,0.49,190.10
G35-2,-43.758301,178.000000,433,Nodule,53,,3.00,0.02,0.70,2.64,0.70,0.015,61.8,0.51,26.7,,2.15,114.9,38.1,14.8,68.6,7.48,55.7,1.37,123,17.8,1900,77.2,17.9,1.07,2.81,0.426,0.066,7.75,1.08,515,39.9,14.8,4.95,21.3,3.71,0.995,5.50,0.770,5.155,1.350,4.03,0.565,3.33,0.526,0.244,0.031,0.735,11.7,0.071,0.280,80.6
